⟨ϵ⟩, ⟨|m|⟩
-1.9914, 0.993709
-1.99141, 0.993716
-1.99142, 0.993724
-1.99143, 0.993731
-1.99144, 0.993738
-1.99145, 0.993746
-1.99146, 0.993753
-1.99145, 0.993755
-1.99146, 0.993762
-1.99147, 0.993769
-1.99148, 0.993776
-1.99149, 0.993784
-1.9915, 0.993791
-1.99151, 0.993798
-1.99152, 0.993805
-1.99153, 0.993813
-1.99154, 0.99382
-1.99155, 0.993827
-1.99152, 0.993825
-1.9915, 0.993824
-1.99151, 0.993831
-1.9915, 0.993833
-1.99151, 0.99384
-1.99152, 0.993847
-1.99153, 0.993854
-1.99152, 0.993857
-1.99152, 0.993862
-1.99153, 0.993869
-1.99154, 0.993876
-1.99155, 0.993883
-1.99156, 0.99389
-1.99157, 0.993897
-1.99158, 0.993904
-1.99159, 0.993911
-1.9916, 0.993918
-1.99161, 0.993925
-1.99162, 0.993932
-1.99163, 0.993939
-1.99164, 0.993946
-1.99165, 0.993953
-1.99166, 0.993959
-1.99167, 0.993966
-1.99168, 0.993973
-1.99167, 0.993976
-1.99167, 0.993981
-1.99168, 0.993988
-1.99169, 0.993994
-1.9917, 0.994001
-1.99171, 0.994008
-1.99172, 0.994015
-1.99171, 0.994016
-1.99171, 0.994022
-1.9917, 0.994024
-1.99171, 0.99403
-1.99172, 0.994037
-1.99173, 0.994043
-1.99174, 0.99405
-1.99175, 0.994057
-1.99176, 0.994063
-1.99177, 0.99407
-1.99177, 0.994076
-1.99178, 0.994083
-1.99179, 0.99409
-1.99179, 0.994093
-1.99179, 0.994097
-1.9918, 0.994104
-1.99181, 0.99411
-1.99182, 0.994116
-1.99182, 0.994123
-1.99182, 0.994127
-1.9918, 0.994125
-1.99181, 0.994131
-1.99182, 0.994138
-1.99183, 0.994144
-1.99183, 0.99415
-1.99184, 0.994157
-1.99185, 0.994163
-1.99186, 0.994169
-1.99187, 0.994176
-1.99187, 0.994179
-1.99187, 0.994183
-1.99187, 0.994189
-1.99188, 0.994196
-1.99189, 0.994202
-1.9919, 0.994208
-1.99191, 0.994214
-1.99192, 0.994221
-1.99193, 0.994227
-1.99194, 0.994233
-1.99194, 0.994239
-1.99195, 0.994245
-1.99196, 0.994251
-1.99197, 0.994258
-1.99198, 0.994264
-1.99199, 0.99427
-1.992, 0.994276
-1.992, 0.994282
-1.99201, 0.994288
-1.99202, 0.994294
-1.99203, 0.9943
-1.99204, 0.994306
-1.99205, 0.994312
-1.99205, 0.994316
-1.99203, 0.994317
-1.99202, 0.994317
-1.99202, 0.99432
-1.99203, 0.994326
-1.99203, 0.994332
-1.99202, 0.994333
-1.99203, 0.994339
-1.99204, 0.994345
-1.99205, 0.994351
-1.99205, 0.994357
-1.99206, 0.994363
-1.99207, 0.994369
-1.99206, 0.99437
-1.99206, 0.994374
-1.99205, 0.994376
-1.99206, 0.994382
-1.99207, 0.994387
-1.99208, 0.994392
-1.99207, 0.994394
-1.99207, 0.9944
-1.99208, 0.994405
-1.99209, 0.994411
-1.9921, 0.994417
-1.99211, 0.994423
-1.99212, 0.994429
-1.99212, 0.994434
-1.99213, 0.99444
-1.99214, 0.994446
-1.99215, 0.994451
-1.99214, 0.994454
-1.99214, 0.994458
-1.99215, 0.994463
-1.99215, 0.994467
-1.99215, 0.994469
-1.99216, 0.994475
-1.99216, 0.994481
-1.99216, 0.994485
-1.99216, 0.994487
-1.99217, 0.994492
-1.99217, 0.994498
-1.99216, 0.994499
-1.99217, 0.994504
-1.99218, 0.99451
-1.99219, 0.994515
-1.99219, 0.994521
-1.9922, 0.994526
-1.99221, 0.994532
-1.99222, 0.994537
-1.99223, 0.994543
-1.99223, 0.994548
-1.99224, 0.994554
-1.99225, 0.994559
-1.99226, 0.994565
-1.99226, 0.99457
-1.99227, 0.994576
-1.99227, 0.994579
-1.99227, 0.994581
-1.99228, 0.994587
-1.99228, 0.994592
-1.99229, 0.994598
-1.9923, 0.994603
-1.99229, 0.994605
-1.99229, 0.994609
-1.9923, 0.994614
-1.99231, 0.994619
-1.99232, 0.994625
-1.99232, 0.99463
-1.99233, 0.994635
-1.99234, 0.99464
-1.99233, 0.994642
-1.99233, 0.994646
-1.99234, 0.994651
-1.99235, 0.994657
-1.99236, 0.994662
-1.99236, 0.994667
-1.99237, 0.994672
-1.99238, 0.994678
-1.99239, 0.994683
-1.99239, 0.994688
-1.9924, 0.994693
-1.9924, 0.994697
-1.9924, 0.994699
-1.99239, 0.994699
-1.99238, 0.9947
-1.99236, 0.994699
-1.99237, 0.994705
-1.99238, 0.99471
-1.99238, 0.994715
-1.99239, 0.99472
-1.9924, 0.994725
-1.9924, 0.99473
-1.99238, 0.994726
-1.99239, 0.994731
-1.9924, 0.994736
-1.99241, 0.994741
-1.99241, 0.994746
-1.99242, 0.994751
-1.99243, 0.994756
-1.99243, 0.994761
-1.99244, 0.994766
-1.99245, 0.994771
-1.99246, 0.994776
-1.99246, 0.994781
-1.99247, 0.994785
-1.99246, 0.994786
-1.99247, 0.994791
-1.99246, 0.994793
-1.99246, 0.994796
-1.99247, 0.994801
-1.99248, 0.994806
-1.99248, 0.994811
-1.99249, 0.994816
-1.9925, 0.994821
-1.9925, 0.994826
-1.99251, 0.99483
-1.99252, 0.994835
-1.99253, 0.99484
-1.99253, 0.994845
-1.99254, 0.99485
-1.99253, 0.994851
-1.99253, 0.994855
-1.99254, 0.99486
-1.99255, 0.994864
-1.99256, 0.994869
-1.99256, 0.994874
-1.99257, 0.994879
-1.99258, 0.994884
-1.99258, 0.994888
-1.99259, 0.994893
-1.99259, 0.994896
-1.99259, 0.994898
-1.99259, 0.994903
-1.9926, 0.994907
-1.99261, 0.994912
-1.9926, 0.994913
-1.99258, 0.994912
-1.99259, 0.994917
-1.9926, 0.994922
-1.9926, 0.994926
-1.99261, 0.994931
-1.99262, 0.994936
-1.99262, 0.99494
-1.99262, 0.994943
-1.99262, 0.994945
-1.99261, 0.994945
-1.99259, 0.994944
-1.99258, 0.994945
-1.99259, 0.99495
-1.9926, 0.994954
-1.9926, 0.994959
-1.99261, 0.994964
-1.99262, 0.994968
-1.99262, 0.994972
-1.99261, 0.994973
-1.99262, 0.994977
-1.99263, 0.994982
-1.99262, 0.994983
-1.99262, 0.994987
-1.99262, 0.99499
-1.99262, 0.994991
-1.99262, 0.994996
-1.99263, 0.995
-1.99264, 0.995005
