⟨ϵ⟩, ⟨|m|⟩
-1.22292, 0.405175
-1.22274, 0.404657
-1.22248, 0.404172
-1.22202, 0.403808
-1.22157, 0.40353
-1.22122, 0.403202
-1.22071, 0.402747
-1.2203, 0.402095
-1.21994, 0.401632
-1.21952, 0.401108
-1.21924, 0.400614
-1.21899, 0.400081
-1.21876, 0.399622
-1.21845, 0.399027
-1.21825, 0.398417
-1.21811, 0.39781
-1.21791, 0.397303
-1.21761, 0.396867
-1.21736, 0.396341
-1.21724, 0.395731
-1.21704, 0.39516
-1.21682, 0.394567
-1.21673, 0.394084
-1.21663, 0.393696
-1.21636, 0.39311
-1.21606, 0.392543
-1.21598, 0.392015
-1.21581, 0.391551
-1.21571, 0.391291
-1.21567, 0.391102
-1.21558, 0.390833
-1.21546, 0.390566
-1.21545, 0.390382
-1.21536, 0.390067
-1.21528, 0.389788
-1.21525, 0.389617
-1.21507, 0.389491
-1.21482, 0.389332
-1.21461, 0.389127
-1.21438, 0.388903
-1.21423, 0.388552
-1.21384, 0.388216
-1.21348, 0.387983
-1.21326, 0.387885
-1.21311, 0.387893
-1.21305, 0.387925
-1.21307, 0.387939
-1.21295, 0.387951
-1.21267, 0.387753
-1.21218, 0.387291
-1.21183, 0.386864
-1.2115, 0.386413
-1.21134, 0.386111
-1.21133, 0.38606
-1.21147, 0.386082
-1.21148, 0.385897
-1.21145, 0.385657
-1.21139, 0.38535
-1.2113, 0.385245
-1.21131, 0.385187
-1.21134, 0.384914
-1.21139, 0.384441
-1.21123, 0.384002
-1.21107, 0.383682
-1.21081, 0.383304
-1.21053, 0.382838
-1.21042, 0.382541
-1.21014, 0.382278
-1.20996, 0.382044
-1.20995, 0.381969
-1.2098, 0.381956
-1.20978, 0.381931
-1.20982, 0.38192
-1.21013, 0.38236
-1.21051, 0.382792
-1.21078, 0.38307
-1.21122, 0.38358
-1.21167, 0.384173
-1.21191, 0.384715
-1.21206, 0.385052
-1.21224, 0.385429
-1.21223, 0.385722
-1.21206, 0.385904
-1.21185, 0.385927
-1.21171, 0.385916
-1.21148, 0.385968
-1.21121, 0.386091
-1.21087, 0.386186
-1.21089, 0.386268
-1.21099, 0.386426
