T, ⟨ϵ⟩, ⟨|m|⟩, C_V, χ
Number of Monte Carlo cycles: 100
2.11717, -1.82902, 0.946729, 0.282667, 0.0653283
2.13131, -1.82607, 0.945741, 0.283781, 0.0661618
2.14545, -1.82276, 0.94483, 0.284736, 0.0665407
2.1596, -1.81856, 0.943469, 0.286921, 0.0676559
2.17374, -1.81547, 0.942509, 0.287508, 0.0682472
2.18788, -1.80706, 0.939914, 0.296132, 0.0706443
2.20202, -1.80997, 0.940735, 0.287941, 0.0693843
2.21616, -1.80386, 0.938881, 0.292732, 0.0708592
2.2303, -1.79801, 0.937046, 0.296374, 0.0722883
2.24444, -1.7938, 0.93572, 0.298735, 0.0733087
2.25859, -1.78749, 0.933767, 0.30261, 0.0747605
2.27273, -1.78523, 0.933045, 0.301386, 0.0750104
2.28687, -1.77982, 0.931466, 0.304635, 0.0760188
2.30101, -1.77716, 0.930561, 0.304315, 0.0765731
2.31515, -1.77042, 0.928523, 0.308223, 0.0779599
2.32929, -1.77002, 0.928356, 0.305427, 0.0777752
2.34343, 0, 0.250001, 0, 0.106681
2.35758, -1.75927, 0.924943, 0.310478, 0.0801949
2.37172, 0, 0.250001, 0, 0.105409
2.38586, -1.75181, 0.922699, 0.311101, 0.0811869
2.4, -1.74393, 0.92033, 0.316367, 0.0828378
Analyticals solution:
1, -1.99598, 0.998661, 0.0320823, 0.00401074
1.01414, -1.99551, 0.998503, 0.0348595, 0.00441961
1.02828, -1.995, 0.998332, 0.0377744, 0.00485602
1.04242, -1.99444, 0.998147, 0.0408264, 0.00532063
1.05657, -1.99384, 0.997947, 0.0440149, 0.00581408
1.07071, -1.99319, 0.997732, 0.0473388, 0.00633695
1.08485, -1.9925, 0.9975, 0.0507965, 0.00688975
1.09899, -1.99176, 0.997253, 0.0543862, 0.00747295
1.11313, -1.99096, 0.996987, 0.0581057, 0.00808694
1.12727, -1.99011, 0.996705, 0.0619526, 0.00873208
1.14141, -1.98921, 0.996403, 0.065924, 0.00940865
1.15556, -1.98825, 0.996083, 0.0700169, 0.0101169
1.1697, -1.98723, 0.995743, 0.0742279, 0.0108569
1.18384, -1.98615, 0.995383, 0.0785534, 0.0116288
1.19798, -1.98501, 0.995003, 0.0829895, 0.0124327
1.21212, -1.9838, 0.994601, 0.0875322, 0.0132684
1.22626, -1.98253, 0.994177, 0.0921771, 0.014136
1.2404, -1.98119, 0.993732, 0.0969197, 0.0150353
1.25455, -1.97979, 0.993264, 0.101755, 0.0159661
1.26869, -1.97831, 0.992773, 0.106679, 0.0169281
1.28283, -1.97677, 0.992258, 0.111687, 0.017921
1.29697, -1.97516, 0.99172, 0.116772, 0.0189444
1.31111, -1.97347, 0.991158, 0.121931, 0.019998
1.32525, -1.97171, 0.990571, 0.127157, 0.0210811
1.33939, -1.96987, 0.989959, 0.132446, 0.0221934
1.35354, -1.96796, 0.989323, 0.137792, 0.0233342
1.36768, -1.96597, 0.988661, 0.143189, 0.0245029
1.38182, -1.96391, 0.987973, 0.148632, 0.0256988
1.39596, -1.96177, 0.98726, 0.154116, 0.0269213
1.4101, -1.95955, 0.986521, 0.159635, 0.0281696
1.42424, -1.95725, 0.985756, 0.165183, 0.0294429
1.43838, -1.95488, 0.984965, 0.170755, 0.0307403
1.45253, -1.95243, 0.984147, 0.176346, 0.0320611
1.46667, -1.94989, 0.983303, 0.181949, 0.0334044
1.48081, -1.94728, 0.982433, 0.187561, 0.0347692
1.49495, -1.94459, 0.981536, 0.193175, 0.0361547
1.50909, -1.94182, 0.980613, 0.198786, 0.0375598
1.52323, -1.93896, 0.979664, 0.204389, 0.0389835
1.53737, -1.93603, 0.978688, 0.20998, 0.040425
1.55152, -1.93303, 0.977686, 0.215552, 0.0418831
1.56566, -1.92994, 0.976658, 0.221102, 0.0433569
1.5798, -1.92677, 0.975604, 0.226624, 0.0448453
1.59394, -1.92353, 0.974524, 0.232115, 0.0463473
1.60808, -1.92021, 0.973418, 0.237569, 0.0478617
1.62222, -1.91681, 0.972287, 0.242982, 0.0493876
1.63636, -1.91334, 0.97113, 0.248351, 0.0509239
1.65051, -1.90979, 0.969948, 0.25367, 0.0524695
1.66465, -1.90616, 0.968742, 0.258936, 0.0540234
1.67879, -1.90246, 0.967511, 0.264146, 0.0555845
1.69293, -1.89869, 0.966255, 0.269296, 0.0571518
1.70707, -1.89485, 0.964976, 0.274381, 0.0587241
1.72121, -1.89093, 0.963673, 0.2794, 0.0603005
1.73535, -1.88695, 0.962346, 0.284349, 0.06188
1.74949, -1.88289, 0.960997, 0.289225, 0.0634614
1.76364, -1.87877, 0.959624, 0.294024, 0.0650439
1.77778, -1.87457, 0.95823, 0.298745, 0.0666264
1.79192, -1.87032, 0.956813, 0.303385, 0.068208
1.80606, -1.86599, 0.955375, 0.307942, 0.0697877
1.8202, -1.86161, 0.953916, 0.312413, 0.0713645
1.83434, -1.85716, 0.952437, 0.316796, 0.0729376
1.84848, -1.85265, 0.950936, 0.321089, 0.074506
1.86263, -1.84808, 0.949416, 0.325291, 0.0760688
1.87677, -1.84345, 0.947877, 0.3294, 0.0776253
1.89091, -1.83876, 0.946319, 0.333415, 0.0791745
1.90505, -1.83402, 0.944742, 0.337334, 0.0807156
1.91919, -1.82922, 0.943147, 0.341156, 0.082248
1.93333, -1.82437, 0.941534, 0.344881, 0.0837707
1.94747, -1.81947, 0.939904, 0.348506, 0.0852831
1.96162, -1.81451, 0.938258, 0.352032, 0.0867844
1.97576, -1.80951, 0.936596, 0.355458, 0.088274
1.9899, -1.80446, 0.934917, 0.358783, 0.0897512
2.00404, -1.79936, 0.933224, 0.362007, 0.0912153
2.01818, -1.79422, 0.931516, 0.365129, 0.0926658
2.03232, -1.78904, 0.929793, 0.36815, 0.0941021
2.04646, -1.78381, 0.928057, 0.37107, 0.0955235
2.06061, -1.77854, 0.926307, 0.373887, 0.0969296
2.07475, -1.77324, 0.924545, 0.376604, 0.0983199
2.08889, -1.76789, 0.92277, 0.379219, 0.0996938
2.10303, -1.76251, 0.920983, 0.381734, 0.101051
2.11717, -1.7571, 0.919185, 0.384148, 0.102391
2.13131, -1.75165, 0.917376, 0.386462, 0.103713
2.14545, -1.74617, 0.915557, 0.388677, 0.105018
2.1596, -1.74066, 0.913728, 0.390793, 0.106304
2.17374, -1.73511, 0.911889, 0.392812, 0.107571
2.18788, -1.72955, 0.910041, 0.394733, 0.108819
2.20202, -1.72395, 0.908185, 0.396559, 0.110048
