T, ⟨ϵ⟩, ⟨|m|⟩, C_V, χ
Number of Monte Carlo cycles: 100
1.93333, -1.82437, 0.941534, 0.344881, 0.0837707
1.94747, -1.81947, 0.939904, 0.348506, 0.0852831
1.96162, -1.81451, 0.938258, 0.352032, 0.0867844
1.97576, -1.80951, 0.936596, 0.355458, 0.088274
1.9899, -1.80446, 0.934917, 0.358783, 0.0897512
2.00404, -1.79936, 0.933224, 0.362007, 0.0912153
2.01818, -1.79422, 0.931516, 0.365129, 0.0926658
2.03232, -1.78904, 0.929793, 0.36815, 0.0941021
2.04646, -1.78381, 0.928057, 0.37107, 0.0955235
2.06061, -1.77854, 0.926307, 0.373887, 0.0969296
2.07475, -1.77324, 0.924545, 0.376604, 0.0983199
2.08889, -1.76789, 0.92277, 0.379219, 0.0996938
2.10303, -1.76251, 0.920983, 0.381734, 0.101051
2.11717, -1.7571, 0.919185, 0.384148, 0.102391
2.13131, -1.75165, 0.917376, 0.386462, 0.103713
2.14545, -1.74617, 0.915557, 0.388677, 0.105018
2.1596, -1.74066, 0.913728, 0.390793, 0.106304
2.17374, -1.73511, 0.911889, 0.392812, 0.107571
2.18788, -1.72955, 0.910041, 0.394733, 0.108819
2.20202, -1.72395, 0.908185, 0.396559, 0.110048
2.21616, -1.71833, 0.90632, 0.398289, 0.111258
2.2303, -1.71269, 0.904448, 0.399925, 0.112448
2.24444, -1.70702, 0.902568, 0.401468, 0.113617
2.25859, -1.70133, 0.900682, 0.402918, 0.114767
2.27273, -1.69562, 0.898789, 0.404278, 0.115896
2.28687, -1.6899, 0.896891, 0.405548, 0.117005
2.30101, -1.68416, 0.894987, 0.40673, 0.118093
2.31515, -1.6784, 0.893078, 0.407825, 0.119161
2.32929, -1.67262, 0.891164, 0.408834, 0.120207
2.34343, -1.66683, 0.889246, 0.409758, 0.121233
2.35758, -1.66103, 0.887324, 0.410599, 0.122237
2.37172, -1.65522, 0.885398, 0.411358, 0.123221
2.38586, -1.6494, 0.88347, 0.412038, 0.124183
2.4, -1.64357, 0.881538, 0.412638, 0.125125
